time,AvgResponseTime,nrOfInstances,AvgMemory,AvgCPU,numebrOfRequest,Latency
2020-06-30 12:47:46.998,,,,5.48778288546193,,
2020-06-30 12:47:47.398,7.5,2.0,,,,
2020-06-30 12:47:51.998,,,,5.934833011141698,,
2020-06-30 12:47:52.398,7.5,2.0,,,,
2020-06-30 12:47:56.998,,,,5.4725203948805285,,
2020-06-30 12:47:57.398,7.5,2.0,,,,
2020-06-30 12:48:01.998,,,,5.172408759158715,,
2020-06-30 12:48:02.398,7.5,2.0,,,,
2020-06-30 12:48:02.797,,,,,1.0,24.0
2020-06-30 12:48:03.123,,,,,1.0,42.0
2020-06-30 12:48:03.396,,,,,1.0,20.0
2020-06-30 12:48:16.998,,,,5.523240719092522,,
2020-06-30 12:48:17.398,10.0,2.0,,,,
2020-06-30 12:48:21.998,,,,5.526124666371282,,
2020-06-30 12:48:22.398,10.0,2.0,,,,
2020-06-30 12:48:27.005,,,,5.526124666371282,,
2020-06-30 12:48:27.805,10.0,2.0,,,,
2020-06-30 12:48:31.998,,,,5.5400525471660975,,
2020-06-30 12:48:32.398,10.0,2.0,,,,
2020-06-30 12:48:36.250,,,,,1.0,28.0
2020-06-30 12:48:36.998,,,,5.5400525471660975,,
2020-06-30 12:48:37.398,0.0,2.0,,,,
2020-06-30 12:48:40.903,,,,,1.0,36.0
2020-06-30 12:48:41.298,,,40.799672774015065,,,
2020-06-30 12:48:41.998,,,,4.434188892550658,,
2020-06-30 12:48:42.469,0.0,2.0,,,,
2020-06-30 12:48:46.998,,,,4.434188892550658,,
2020-06-30 12:48:47.398,0.0,2.0,,,,
2020-06-30 12:48:51.998,,,,6.174822625329926,,
2020-06-30 12:48:52.398,0.0,2.0,,,,
2020-06-30 12:48:56.998,,,,6.174822625329926,,
2020-06-30 12:48:57.406,0.0,2.0,,,,
2020-06-30 12:49:01.998,,,,7.3914187923096035,,
2020-06-30 12:49:02.425,0.0,2.0,,,,
2020-06-30 12:49:13.952,,,,,1.0,20.0
2020-06-30 12:49:14.513,,,,,1.0,15.0
2020-06-30 12:49:14.862,,,,,1.0,31.0
2020-06-30 12:49:15.424,,,,,1.0,19.0
2020-06-30 12:49:15.788,,,,,1.0,18.0
2020-06-30 12:49:16.456,,,,,1.0,18.0
2020-06-30 12:49:16.998,,,,9.01152783287806,,
2020-06-30 12:49:17.001,,,,,1.0,19.0
2020-06-30 12:49:17.397,,,,,1.0,15.0
2020-06-30 12:49:17.399,15.0,2.0,,,,
2020-06-30 12:49:18.014,,,,,1.0,19.0
2020-06-30 12:49:18.503,,,,,1.0,30.0
2020-06-30 12:49:21.998,,,,8.43656031159815,,
2020-06-30 12:49:22.398,15.0,2.0,,,,
2020-06-30 12:49:26.998,,,,8.43656031159815,,
2020-06-30 12:49:27.398,15.0,2.0,,,,
2020-06-30 12:49:31.998,,,,8.69812762292764,,
2020-06-30 12:49:32.706,15.0,2.0,,,,
2020-06-30 12:49:36.998,,,,8.69812762292764,,
2020-06-30 12:49:37.484,22.0,2.0,,,,
2020-06-30 12:49:41.298,,,40.15379295044957,,,
2020-06-30 12:49:42.209,,,,8.75641884587749,,
2020-06-30 12:49:42.827,22.0,2.0,,,,
2020-06-30 12:49:46.998,,,,8.75641884587749,,
2020-06-30 12:49:47.457,22.0,2.0,,,,
2020-06-30 12:49:51.454,,,,,1.0,17.0
2020-06-30 12:49:51.548,,,,,1.0,15.0
2020-06-30 12:49:51.998,,,,8.784207404182231,,
2020-06-30 12:49:52.398,22.0,2.0,,,,
2020-06-30 12:49:56.998,,,,8.784207404182231,,
2020-06-30 12:49:57.411,22.0,2.0,,,,
2020-06-30 12:50:01.998,,,,8.592467139733731,,
2020-06-30 12:50:02.398,22.0,2.0,,,,
2020-06-30 12:50:16.998,,,,8.67100463870674,,
2020-06-30 12:50:17.398,6.0,2.0,,,,
2020-06-30 12:50:21.998,,,,8.8107202680067,,
2020-06-30 12:50:22.398,6.0,2.0,,,,
2020-06-30 12:50:24.653,,,,,1.0,16.0
2020-06-30 12:50:24.988,,,,,1.0,17.0
2020-06-30 12:50:25.444,,,,,1.0,16.0
2020-06-30 12:50:25.863,,,,,1.0,27.0
2020-06-30 12:50:26.389,,,,,1.0,17.0
2020-06-30 12:50:26.799,,,,,1.0,18.0
2020-06-30 12:50:26.998,,,,8.8107202680067,,
2020-06-30 12:50:27.251,,,,,1.0,19.0
2020-06-30 12:50:27.398,6.0,1.0,,,,
2020-06-30 12:50:27.636,,,,,1.0,16.0
2020-06-30 12:50:28.093,,,,,1.0,17.0
2020-06-30 12:50:31.998,,,,9.27973199329983,,
2020-06-30 12:50:32.398,6.0,1.0,,,,
2020-06-30 12:50:36.998,,,,9.27973199329983,,
2020-06-30 12:50:37.398,7.0,1.0,,,,
2020-06-30 12:50:41.298,,,40.16973012828042,,,
2020-06-30 12:50:41.998,,,,9.91264892064069,,
2020-06-30 12:50:42.540,7.0,1.0,,,,
2020-06-30 12:50:46.998,,,,9.91264892064069,,
2020-06-30 12:50:47.398,7.0,1.0,,,,
2020-06-30 12:50:51.998,,,,9.80348587092316,,
2020-06-30 12:50:53.268,7.0,1.0,,,,
2020-06-30 12:50:56.998,,,,9.80348587092316,,
2020-06-30 12:50:57.398,7.0,1.0,,,,
2020-06-30 12:51:01.121,,,,,1.0,21.0
2020-06-30 12:51:01.296,,,,,1.0,20.0
2020-06-30 12:51:01.670,,,,,1.0,48.0
2020-06-30 12:51:01.839,,,,,1.0,28.0
2020-06-30 12:51:01.998,,,,9.295261028892881,,
2020-06-30 12:51:02.032,,,,,1.0,20.0
2020-06-30 12:51:02.081,,,,,1.0,19.0
2020-06-30 12:51:02.398,7.0,1.0,,,,
2020-06-30 12:51:02.410,,,,,1.0,22.0
2020-06-30 12:51:02.771,,,,,1.0,19.0
2020-06-30 12:51:02.831,,,,,1.0,19.0
2020-06-30 12:51:16.998,,,,9.56686671461736,,
2020-06-30 12:51:17.398,6.0,1.0,,,,
2020-06-30 12:51:21.998,,,,9.53916740703298,,
2020-06-30 12:51:22.398,6.0,1.0,,,,
2020-06-30 12:51:26.998,,,,9.53916740703298,,
2020-06-30 12:51:27.398,6.0,1.0,,,,
2020-06-30 12:51:31.998,,,,9.508553476889132,,
2020-06-30 12:51:32.398,6.0,1.0,,,,
2020-06-30 12:51:36.998,,,,9.508553476889132,,
2020-06-30 12:51:37.398,0.0,1.0,,,,
2020-06-30 12:51:38.577,,,,,1.0,134.0
2020-06-30 12:51:41.298,,,40.19364405120777,,,
2020-06-30 12:51:41.998,,,,8.497816072044781,,
2020-06-30 12:51:42.425,0.0,1.0,,,,
2020-06-30 12:51:46.998,,,,8.497816072044781,,
2020-06-30 12:51:47.398,0.0,1.0,,,,
2020-06-30 12:51:51.998,,,,8.49496280004673,,
2020-06-30 12:51:52.399,0.0,1.0,,,,
2020-06-30 12:51:56.998,,,,8.49496280004673,,
2020-06-30 12:51:57.521,0.0,1.0,,,,
2020-06-30 12:52:01.998,,,,8.52557673019057,,
2020-06-30 12:52:03.298,0.0,1.0,,,,
2020-06-30 12:52:11.659,,,,,1.0,15.0
2020-06-30 12:52:16.998,,,,8.59075094116464,,
